Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,Cmp_Pct,Yds,TD,TD_Pct,Int,Int_Pct,1D,Succ_Pct,Lng,Yards_Per_Att,Adj_Yards_Per_Att,Yards_Per_Cmp,Yards_Per_Game,Passer_Rating,Total_QBR,Sk,Yds_Lost_Sk,Sk_Pct,Net_Yards_Per_Att,Adj_Net_Yards_Per_Att,Game_Tying_Drives,Game_Winning_Drives,Awards,Player_ID,Wins,Losses,Ties
85,Logan Cooke,28,JAX,P,17,0,1,1,100.0,13,0,0.0,0,0.0,1,100.0,13.0,13.0,13.0,13.0,0.8,118.7,0.0,0,0,0.0,13.0,13.0,0,0,None,CookLo00,0,0,0
86,Jakobi Meyers,27,LVR,WR,16,16,2,3,66.7,12,1,33.3,0,0.0,1,66.7,9.0,4.0,10.67,6.0,0.8,113.9,39.8,0,0,0.0,4.0,10.67,0,0,None,MeyeJa01,0,0,0
87,Tommy Townsend,27,KAN,P,17,0,1,1,100.0,11,0,0.0,0,0.0,1,100.0,11.0,11.0,11.0,11.0,0.6,112.5,0.0,0,0,0.0,11.0,11.0,0,0,None,TownTo01,0,0,0
88,Johnny Hekker,33,CAR,P,17,0,1,1,100.0,7,0,0.0,0,0.0,0,0.0,7.0,7.0,7.0,7.0,0.4,95.8,0.0,0,0,0.0,7.0,7.0,0,0,None,HekkJo00,0,0,0
89,Devin Singletary,26,HOU,RB,17,10,1,1,100.0,6,1,100.0,0,0.0,1,100.0,6.0,6.0,26.0,6.0,0.4,131.2,100.0,0,0,0.0,6.0,26.0,0,0,None,SingDe00,0,0,0
90,Dyami Brown,24,WAS,WR,17,1,1,1,100.0,4,0,0.0,0,0.0,0,0.0,4.0,4.0,4.0,4.0,0.2,83.3,2.2,0,0,0.0,4.0,4.0,0,0,None,BrowDy00,0,0,0
91,Jerick McKinnon,31,KAN,RB,12,0,1,1,100.0,4,1,100.0,0,0.0,1,100.0,4.0,4.0,24.0,4.0,0.3,122.9,90.1,0,0,0.0,4.0,24.0,0,0,None,McKiJe00,0,0,0
92,De'Von Achane,22,MIA,RB,11,4,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,6,100.0,-6.0,-6.0,0,0,None,AchaDe00,0,0,0
93,Cam Akers,24,MIN,RB,6,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,100.0,-7.0,-7.0,0,0,None,AkerCa00,0,0,0
94,Tyler Boyd,29,CIN,WR,17,13,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-45.0,0,0,None,BoydTy00,0,0,0
95,Parris Campbell,26,NYG,WR,12,3,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,100.0,-8.0,-8.0,0,0,None,CampPa00,0,0,0
96,Malik Cunningham,25,NWE,QB,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,100.0,-5.0,-5.0,0,0,None,CunnMa00,0,0,0
97,DeeJay Dallas,25,SEA,RB,17,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,1,0,100.0,0.0,0.0,0,0,None,DallDe00,0,0,0
98,Tank Dell,24,HOU,WR,11,8,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1,1,100.0,-1.0,-1.0,0,0,None,DellNa00,0,0,0
